CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09
  344,10,10,10,10, 9,10,10,10
  345, 9, 9, 7,10,10, 7, 7, 8
  346, 8, 3,10,10,10, 4, 8, 8
  347,96,96,96,96,96,96,96,96
  348,10, 7, 9,10, 7, 2, 8,10
  349, 8,10, 2,10,10, 7, 7, 5
  350,96,96,96,96,96,96,96,96
  351, 6,10, 8, 7,10, 8, 8,10
  352,10, 9,10,10, 0, 2, 9,10
  353,96,96,96,96,96,96,96,96
  354,10, 5,10,10, 1,10,10,10
  355, 8, 8, 8, 9, 4, 4, 8, 9
  356, 8, 7,10,10,10, 7, 7, 6
  357,96,96,96,96,96,96,96,96
  358, 8, 3,10,10, 5, 5, 7, 8
  359,96,96,96,96,96,96,96,96
  360, 7, 7, 8,10,10, 8, 9, 9
  361, 9, 6, 7,10,10, 5, 9,10
  362,96,96,96,96,96,96,96,96
  363, 7, 3, 8, 8, 5, 8,10,10
  364,10,96,10,10, 6, 6,10,10
  365,96,96,96,96,96,96,96,96
  366,96,96,96,96,96,96,96,96
  367,96,96,96,96,96,96,96,96
  368, 9, 3, 7,10, 4, 4, 7, 3
  369, 9, 0, 7, 6, 5, 6, 6, 7
  370,96,96,96,96,96,96,96,96
  371, 5,10, 0,10,10, 5, 0, 5
  372,96,96,96,96,96,96,96,96
  373,10,10, 8, 9, 7, 7, 8,10
  374, 7, 6, 9, 9,10, 5, 7,10
  375,97, 0, 0,10,10, 2, 4, 2
  376,96,96,96,96,96,96,96,96
  377,96,96,96,96,96,96,96,96
  378,96,96,96,96,96,96,96,96
  379,10, 7,10,10, 7, 7,10,10
  380,96,96,96,96,96,96,96,96
  381, 8, 2, 8,10,10, 5,10,10
  382,10, 5,10,10, 5, 3,10,10
  383,10, 0,10,10, 0, 1, 9,10
  384,96,96,96,96,96,96,96,96
  385,10, 5,10,10, 0, 0, 5,10
  386, 8,96, 8,10, 0, 0,10, 8
  387,10, 3,10,10, 1, 1,10,10
  388,10,10, 8, 5,10,10, 6, 8
  389, 9, 7, 9, 9, 5, 4, 7, 9
  390,10, 0,10,10,10, 0,10,10
  391, 9, 4, 9,10, 4, 7, 8, 9
  392, 8, 2, 5, 8, 0, 1, 8, 8
  393,96,96,96,96,96,96,96,96
  394, 7, 7, 9, 9, 2, 2, 8,10
  395,96,96,96,96,96,96,96,96
  396,96,96,96,96,96,96,96,96
  397,10, 5, 8,10, 1, 1,10,10
  398,96,96,96,96,96,96,96,96
  399,96,96,96,96,96,96,96,96
  400,96,96,96,96,96,96,96,96
  401, 5, 9, 4, 6, 8, 7, 8, 8
  402, 8, 3, 4, 8, 5, 6, 4, 9
  403, 6, 2, 9,10, 2, 5, 8, 9
  404,10, 5,10,10,10,10,10,10
  405,96,96,96,96,96,96,96,96
  406,10, 2, 9,10, 3, 2, 9,10
  407,10, 6, 2,10, 8, 8,10,10
  408, 8, 6, 8, 8, 7, 6, 9,10
  409, 8, 8, 5, 5, 7, 3, 8,10
  410,96,96,96,96,96,96,96,96
  411,96,96,96,96,96,96,96,96
  412,96,96,96,96,96,96,96,96
  413,96,96,96,96,96,96,96,96
  414,10, 4,10,10, 1, 6,10,10
  415,96,96,96,96,96,96,96,96
  416,96,96,96,96,96,96,96,96
  417, 6, 2, 8, 9, 2, 5, 6, 9
  418,96,96,96,96,96,96,96,96
  419,96,96,96,96,96,96,96,96
  420,10, 9,10,10,10,10, 7,10
  421,96,96,96,96,96,96,96,96
  422, 8, 0, 5,10, 6, 3, 8, 8
  423,10, 0,10,10, 0, 0,10,10
  424,96,96,96,96,96,96,96,96
  425, 9, 6,10, 8, 7, 6,10,10
  426,96,96,96,96,96,96,96,96
  427, 8,10, 8, 7, 4, 5, 5, 8
  428,96,96,96,96,96,96,96,96
  429,10, 9, 7, 8,10, 4,10,10
  430,96,96,96,96,96,96,96,96
  431, 7, 5,10,10,97, 7, 7,10
  432, 0, 5, 8, 9, 5, 5, 0, 5
  433,10, 6,10,10, 6, 5, 7, 9
  434, 7, 5, 8,10, 5, 6, 7, 8
  435, 7, 4, 7, 9, 3, 3, 5, 7
  436,96,96,96,96,96,96,96,96
  437, 7,96, 8, 9, 4, 2, 7, 8
  438,96,96,96,96,96,96,96,96
  439,10,10, 6,10,10, 5, 5, 5
  440, 5, 7, 5, 8, 3, 3, 8, 5
  441,96,96,96,96,96,96,96,96
  442, 9, 5, 9,10, 0, 3,10,10
  443, 8,96, 9,10,10, 5, 7,10
  444,10, 0,10,10, 7, 7, 8,10
